"EstablishmentID","InspectionID","EstablishmentName","PlaceName","Address","Address2","City","State","Zip","TypeDescription","Latitude","Longitude","InspectionDate","Score","Grade","NameSearch","Intersection"
"33898","1457622","SPEEDWAY #9518","","4308 BISHOP LN","","LOUISVILLE","KY","40218","RETAIL-FOOD  10,000 SQ FT OR LESS","38.1997000","-85.6866000","2019-03-21 00:00:00","98","","SPEEDWAY #9518",""
"33684","1461205","CIRCLE K #4703244","","9109 US HWY 42","","PROSPECT","KY","40059","RETAIL-FOOD  10,000 SQ FT OR LESS","38.3397000","-85.6200000","2019-04-08 00:00:00","100","","CIRCLE K #4703244",""
"79067","1461215","MOE'S SOUTHWEST GRILL","","9310 CEDAR CENTER WAY","","LOUISVILLE","KY","40291","FOOD SERVICE","38.1442000","-85.5881000","2019-04-08 00:00:00","99","A","MOE'S SOUTHWEST GRILL",""
"40912","1461230","EL NOPAL","","10500 WATTERSON TRAIL","","LOUISVILLE","KY","40299","FOOD SERVICE","38.1942000","-85.5651000","2019-03-27 00:00:00","","","EL NOPAL",""
"54791","1461256","DIVINITY CATERING LTD","","2052 FRANKFORT AVE","","LOUISVILLE","KY","40206","FOOD SERVICE","38.2540000","-85.7086000","2019-04-08 00:00:00","100","A","DIVINITY CATERING LTD",""
"101824","1461258","LITTLE GREEK","","4600 SHELBYVILLE RD","","LOUISVILLE","KY","40207","FOOD SERVICE","38.2480000","-85.6302000","2019-04-08 00:00:00","100","A","LITTLE GREEK",""
"97215","1461263","PRAIRIE VILLAGE BASEBALL/SOFTBALL","","10009 STONESTREET RD","","LOUISVILLE","KY","40272","FOOD SERVICE","38.1091000","-85.8356000","2019-04-08 00:00:00","96","A","PRAIRIE VILLAGE BASEBALL/SOFTBALL",""
"107289","1461347","SOUTH END BBQ","","8610 DIXIE HWY","","LOUISVILLE","KY","40258","FOOD SERVICE","38.1266000","-85.8516000","2019-04-08 00:00:00","95","A","SOUTH END BBQ",""
"92311","1461348","B QUICK FOOD MART","","7600 3RD STREET RD","","LOUISVILLE","KY","40214","PRE-PACKAGED RETAIL","38.1404000","-85.7820000","2019-04-08 00:00:00","95","","B QUICK FOOD MART",""
"107586","1465005","WENDYS","","3301 CANE RUN RD","","LOUISVILLE","KY","40211","FOOD SERVICE","38.2240000","-85.8093000","2019-04-24 00:00:00","100","A","WENDYS",""
"83357","1465016","REGISWOODS HEALTHCARE","","4604 LOWE RD","","LOUISVILLE","KY","40220","FOOD SERVICE (HOSPITAL / NURSING HOME","38.2242000","-85.6106000","2019-04-24 00:00:00","94","A","REGISWOODS HEALTHCARE",""
"90452","1465033","FLORAL GRIND","","10700 W MANSLICK RD","","FAIRDALE","KY","40118","FOOD SERVICE","38.1056000","-85.7595000","2019-04-24 00:00:00","98","A","FLORAL GRIND",""
"76958","1465034","SHACK IN THE BACK BBQ","","406 MT HOLLY RD","","FAIRDALE","KY","40118","FOOD SERVICE","38.1041000","-85.7582000","2019-04-24 00:00:00","97","A","SHACK IN THE BACK BBQ",""
"94902","1465083","PENN STATION","","4600 SHELBYVILLE RD","","LOUISVILLE","KY","40207","FOOD SERVICE","38.2480000","-85.6301000","2019-04-24 00:00:00","100","A","PENN STATION",""
"35204","1465084","DOMINO'S PIZZA #1423","","2400 BROWNSBORO RD","","LOUISVILLE","KY","40206","FOOD SERVICE","38.2580000","-85.7014000","2019-04-24 00:00:00","100","A","DOMINO'S PIZZA #1423",""
"107820","1468483","CHRIS SNACKS","","908 W BROADWAY","","LOUISVILLE","KY","40203","PRE-PACKAGED RETAIL","38.2456000","-85.7678000","2019-04-23 00:00:00","100","","CHRIS SNACKS",""
"107822","1468552","19 DEGREES","","1906 WATTERSON TRAIL","","LOUISVILLE","KY","40299","FOOD SERVICE","38.2176000","-85.5597000","2019-05-01 00:00:00","100","A","19 DEGREES",""
"107821","1468637","78 COFFEE COMPANY","","907 E LIBERTY ST","","LOUISVILLE","KY","40204","RETAIL-FOOD  10,000 SQ FT OR LESS","38.1510000","-85.4410000","2019-04-24 00:00:00","100","","78 COFFEE COMPANY",""
"107810","1468776","CRYSTAL'S SOUTHERN FOOD & SPIRITS","","9909 TAYLORSVILLE RD","","LOUISVILLE","KY","40299","FOOD SERVICE",".0000000",".0000000","2019-05-09 00:00:00","94","A","CRYSTAL'S SOUTHERN FOOD & SPIRITS",""
"80578","1468784","FAIRFIELD INN & SUITES","","100 E JEFFERSON ST","","LOUISVILLE","KY","40202","FOOD SERVICE","38.2529000","-85.7516000","2019-05-09 00:00:00","100","A","FAIRFIELD INN & SUITES",""
"102331","1462448","SULLIVAN'S TAP HOUSE","","3929 SHELBYVILLE RD","","LOUISVILLE","KY","40207","FOOD SERVICE","38.2530000","-85.6538000","2019-04-09 00:00:00","","","SULLIVAN'S TAP HOUSE",""
"106998","1462584","MORRIS DOWNTOWN DELI","","110 W CHESTNUT ST","","LOUISVILLE","KY","40202","FOOD SERVICE","38.2480000","-85.7538000","2019-03-29 00:00:00","","","MORRIS DOWNTOWN DELI",""
"102037","1462599","SHARKS SEAFOOD","","3099 BRECKENRIDGE LN","","LOUISVILLE","KY","40220","FOOD SERVICE","38.2156000","-85.6261000","2019-04-15 00:00:00","100","A","SHARKS SEAFOOD",""
"61492","1462616","CIRCLE K #4703246","","4701 S 3RD ST","","LOUISVILLE","KY","40214","RETAIL-FOOD  10,000 SQ FT OR LESS","38.1811000","-85.7658000","2019-04-15 00:00:00","99","","CIRCLE K #4703246",""
"104156","1443982","YUM 313 FOOD PORTABLE","","1 ARENA PLAZA","","LOUISVILLE","KY","40202","FOOD SERVICE","38.2557000","-85.7153000","2019-01-22 00:00:00","100","A","YUM 313 FOOD PORTABLE",""
"87101","1443984","YUM 5.015 METRO GRILL","","1 ARENA PLAZA","","LOUISVILLE","KY","40202","FOOD SERVICE","38.2557000","-85.7513000","2019-01-22 00:00:00","100","A","YUM 5.015 METRO GRILL",""
"87062","1443987","YUM 5.098 KFC/PIE KITCHEN","","1 ARENA PLAZA","","LOUISVILLE","KY","40202","FOOD SERVICE","38.2557000","-85.7153000","2019-01-22 00:00:00","100","A","YUM 5.098 KFC/PIE KITCHEN",""
"87064","1443997","YUM PREMIUM BOX BAR","","1 ARENA PLAZA","","LOUISVILLE","KY","40202","FOOD SERVICE","38.2557000","-85.7153000","2019-01-22 00:00:00","100","A","YUM PREMIUM BOX BAR",""
"94131","1444053","SCRUBS","","1031 ZORN AVE","","LOUISVILLE","KY","40207","FOOD SERVICE","38.2770000","-85.6958000","2019-01-23 00:00:00","100","A","SCRUBS",""
"66690","1444058","STARBUCKS #2561","","4400 SHELBYVILLE RD","","LOUISVILLE","KY","40207","FOOD SERVICE","38.2508000","-85.6344000","2019-01-23 00:00:00","100","A","STARBUCKS #2561",""
"54076","1444072","MCDONALD'S","","8600 CITADEL WAY","","LOUISVILLE","KY","40220","FOOD SERVICE","38.2116000","-85.5976000","2019-01-04 00:00:00","","","MCDONALD'S",""
"94796","1444075","WHITE CASTLE #43","","4020 SHELBYVILLE RD","","LOUISVILLE","KY","40207","FOOD SERVICE","38.2525000","-85.6507000","2019-01-16 00:00:00","","","WHITE CASTLE #43",""
"56899","1444083","WENDY'S #310","","193 OUTER LOOP","","LOUISVILLE","KY","40214","FOOD SERVICE","38.1267000","-85.7747000","2019-01-16 00:00:00","","","WENDY'S #310",""
"103751","1444087","D NALLEY'S","","970 S 3RD ST","","LOUISVILLE","KY","40203","FOOD SERVICE","38.2392000","-85.7581000","2019-01-17 00:00:00","","","D NALLEY'S",""
"105013","1444091","IRMA DEE'S BY MEKA","","1213 S 28TH ST","","LOUISVILLE","KY","40211","FOOD SERVICE","38.2375000","-85.8001000","2019-01-11 00:00:00","","","IRMA DEE'S BY MEKA",""
"87070","1444100","YUM 3.007 S1 WEST PANTRY","","1 ARENA PLAZA","","LOUISVILLE","KY","40202","FOOD SERVICE","38.2557000","-85.7153000","2019-01-22 00:00:00","100","A","YUM 3.007 S1 WEST PANTRY",""
"87078","1444103","YUM 4.054 GATEWAY GRILL","","1 ARENA PLAZA","","LOUISVILLE","KY","40202","FOOD SERVICE","38.2557000","-85.7153000","2019-01-22 00:00:00","99","A","YUM 4.054 GATEWAY GRILL",""
"87077","1444104","YUM 211 COORS LIGHT BAR","","1 ARENA PLAZA","","LOUISVILLE","KY","40202","FOOD SERVICE","38.2557000","-85.7153000","2019-01-22 00:00:00","100","A","YUM 211 COORS LIGHT BAR",""
"107621","1464109","SILLY AXE CAFE","","2216 DUNDEE RD","","LOUISVILLE","KY","40205","FOOD SERVICE","38.2238000","-85.6937000","2019-04-11 00:00:00","98","","SILLY AXE CAFE",""
"62104","1464138","OKOLONA BASEBALL BABE RUTH","","8620 PRESTON HWY","","LOUISVILLE","KY","40219","FOOD SERVICE","38.1261000","-85.6816000","2019-04-22 00:00:00","95","A","OKOLONA BASEBALL BABE RUTH",""
"66743","1464161","DOLLAR TREE","","6801 DIXIE HWY","","LOUISVILLE","KY","40258","PRE-PACKAGED RETAIL","38.1528000","-85.8335000","2019-04-22 00:00:00","97","","DOLLAR TREE",""
